Category,Subcategory,Local term,English translation,Simple category
Homophobia,Anti-gay,kontneuker,ass fucker,Anti-gay
Homophobia,Anti-gay,heaumeau,homo,Anti-gay
Homophobia,Anti-gay,anaalgeneraal,anal general,Anti-gay
Homophobia,Anti-gay,anusridder,anal knight,Anti-gay
Homophobia,Anti-gay,janet,fairy,Anti-gay
Homophobia,Anti-gay,jeannet,fairy,Anti-gay
Homophobia,Anti-gay,kankerhomo,fucking fag,Anti-gay
Homophobia,Anti-gay,poot,fag,Anti-gay
Homophobia,Anti-gay,poten,fags,Anti-gay
Possible slurs,Racial,aap,ape/monkey,Racial
Possible slurs,Racial,orang-oetan,orangutan,Racial
Racial terms,Anti-aboriginal,inboorling,indigenous,Anti-aboriginal
Sexist,Anti-woman,bitch,bitch,Anti-woman
Sexist,Anti-woman,slet,slut,Anti-woman
Sexist,Anti-woman,hoer,whore,Anti-woman
Sexist,Anti-woman,del,whore,Anti-woman
Sexist,Anti-woman,snol,whore,Anti-woman
Sexist,Anti-woman,sloerie,slut,Anti-woman
Sexist,Anti-woman,kech,whore,Anti-woman
Sexist,Anti-woman,kreng,bitch,Anti-woman
Sexist,Anti-woman,teef,bitch,Anti-woman
Sexist,Anti-woman,stoephoer,whore,Anti-woman
Sexist,Anti-woman,kutwijf,bitch,Anti-woman
Sexist,Anti-woman,trut,bitch,Anti-woman
Sexist,Anti-woman,koe,cow,Anti-woman
Sexist,Anti-woman,takkewijf,bitch,Anti-woman
Sexist,Anti-woman,tuthola,vapid bitch,Anti-woman
Sexist,Anti-woman,bermslet,slut,Anti-woman
Sexist,Anti-woman,breezerslet,drunken slut,Anti-woman
Sexist,Anti-woman,huppelkut,vapid bitch,Anti-woman
Sexist,Anti-woman,slettenbak,slut,Anti-woman
Sexist,Anti-woman,sloerie,slut,Anti-woman
Sexist,Anti-woman,bimbo,bimbo,Anti-woman
Sexist,Anti-woman,trien,dumb bitch,Anti-woman
Sexist,Anti-woman,feeks,witch,Anti-woman
Sexist,Anti-woman,afgelikte boterham,used rag,Anti-woman
Sexist,Anti-woman,loeder,bitch,Anti-woman
Sexist,Anti-woman,oud wijf,old hag,Anti-woman
Sexist,Anti-woman,serpent,snake,Anti-woman
Sexist,Anti-woman,secreet,bitch,Anti-woman
Sexist,Anti-woman,slons,messy, dirty,Anti-woman
Sexist,Anti-woman,troela,vapid bitch,Anti-woman
Sexist,Anti-woman,trien,vapid bitch,Anti-woman
Sexist,Anti-woman,tuttebel,vapid bitch,Anti-woman
Sexual,Female anatomy,kut,cunt,Female anatomy
Sexual,Female anatomy,kont,ass,Female anatomy
Sexual,Female anatomy,reet,ass,Female anatomy
Sexual,Female anatomy,tiet,tit,Female anatomy
Sexual,Female anatomy,tieten,tits,Female anatomy
Sexual,Female anatomy,tetten,tits,Female anatomy
Slurs,Anti-black,dobberneger,floating n-word,Anti-black
Slurs,Anti-black,excuusneger,token n-word,Anti-black
Slurs,Anti-black,neger,n-word,Anti-black
Slurs,Anti-black,kaffer,n-word,Anti-black
Slurs,Anti-black,naffer,n-word,Anti-black
Slurs,Anti-black,moorkop,black,Anti-black
Slurs,Anti-black,negerin,n-word (female),Anti-black
Slurs,Anti-black,roetmop,black,Anti-black
Slurs,Anti-black,nikker,n-word,Anti-black
Slurs,Anti-black,bosneger,bush n-word ,Anti-black
Slurs,Anti-black,djoeka,bush n-word ,Anti-black
Slurs,Anti-black,kankerneger,fucking n-word,Anti-black
Slurs,Anti-black,rumboon,rum bean,Anti-black
Slurs,Anti-black,zwartjoekel,black person,Anti-black
Slurs,Anti-black,zwarte,black person,Anti-black
Slurs,Anti-black,bruine,black person,Anti-black
Slurs,Anti-black,zwartje,little black person,Anti-black
Slurs,Anti-black,zwartjan,black person,Anti-black
Slurs,Anti-black,bosaap,bush ape,Anti-black
Slurs,Anti-black,bosbaviaan,bush baboon,Anti-black
Slurs,Anti-black,zwarte piet,black Pete,Anti-black
Slurs,Anti-black,kleurling,colored,Anti-black
Slurs,Anti-black,negroïde,negroid,Anti-black
Violence,Violent threats,slaan,hitting,Violent threats
Violence,Violent threats,geslagen,hit,Violent threats
Violence,Violent threats,schieten,shooting,Violent threats
Violence,Violent threats,geschoten,shot,Violent threats
Violence,Violent threats,steken,stabbing,Violent threats
Violence,Violent threats,gestoken,stabbed,Violent threats
Violence,Violent threats,verstikken,suffocating,Violent threats
Violence,Violent threats,martelen,torturing,Violent threats
Violence,Violent threats,verminken,maiming,Violent threats
Violence,Violent threats,wurgen,strangling,Violent threats
