term,category,Simple category,local term
zionism,possible slurs,Antisemitism,zionism
zionist,possible slurs,Antisemitism,zionist
zios,possible slurs,Antisemitism,zios
aboriginal,racial term,Racism,aboriginal
african,racial term,Racism,african
africans,racial term,Racism,africans
black,racial term,Racism,black
blacks,racial term,Racism,blacks
islam,racial term,Islamophobia,islam
islame,racial term,Islamophobia,islame
islami,racial term,Islamophobia,islami
islamic,racial term,Islamophobia,islamic
jewish,racial term,Antisemitism,jewish
kneel,racial term,Racism,kneel
kneeling,racial term,Racism,kneeling
kneels,racial term,Racism,kneels
mixed ethnicities,racial term,Racism,mixed ethnicities
mixed heritage,racial term,Racism,mixed heritage
mixed race,racial term,Racism,mixed race
mixed raced,racial term,Racism,mixed raced
muslim,racial term,Islamophobia,muslim
muslims,racial term,Islamophobia,muslims
pakistani,racial term,Islamophobia,pakistani
pakistanis,racial term,Islamophobia,pakistanis
the knee,racial term,Racism,the knee
all black,racist narrative,Racism,all black
anti-white,racist narrative,Racism,anti-white
antifaterrorists,racist narrative,Racism,antifaterrorists
between black,racist narrative,Racism,between black
black boy,racist narrative,Racism,black boy
black burglary,racist narrative,Racism,black burglary
black crime,racist narrative,Racism,black crime
black criminal,racist narrative,Racism,black criminal
black criminals,racist narrative,Racism,black criminals
black gang,racist narrative,Racism,black gang
black gangs,racist narrative,Racism,black gangs
black killings,racist narrative,Racism,black killings
black knife,racist narrative,Racism,black knife
black lad,racist narrative,Racism,black lad
black lads,racist narrative,Racism,black lads
black millionaire,racist narrative,Racism,black millionaire
black millionaires,racist narrative,Racism,black millionaires
black muslim,racist narrative,Racism,black muslim
black on black,racist narrative,Racism,black on black
black racist,racist narrative,Racism,black racist
black supremacist,racist narrative,Racism,black supremacist
black supremacists,racist narrative,Racism,black supremacists
black violence,racist narrative,Racism,black violence
black youths,racist narrative,Racism,black youths
blacks are,racist narrative,Racism,blacks are
blacks kill,racist narrative,Racism,blacks kill
blacks killed,racist narrative,Racism,blacks killed
blacks killing,racist narrative,Racism,blacks killing
blacks knife,racist narrative,Racism,blacks knife
children raped,racist narrative,Violence,children raped
emily jones,racist narrative,Violence,emily jones
gang rape,racist narrative,Violence,gang rape
get raped,racist narrative,Violence,get raped
girls raped,racist narrative,Violence,girls raped
groom,racist narrative,Sexual,groom
grooming,racist narrative,Sexual,grooming
hating white,racist narrative,Racism,hating white
innocent white,racist narrative,Racism,innocent white
killer,racist narrative,Violence,killer
killers,racist narrative,Violence,killers
killings,racist narrative,Violence,killings
many black,racist narrative,Racism,many black
millionaire black,racist narrative,Racism,millionaire black
murdering,racist narrative,Violence,murdering
muslim rape,racist narrative,Islamophobia,muslim rape
only black,racist narrative,Racism,only black
pakistanigroominggangs,racist narrative,Racism,pakistanigroominggangs
palestinians rape,racist narrative,Islamophobia,palestinians rape
rape fighting,racist narrative,Racism,rape fighting
rape gangs,racist narrative,Racism,rape gangs
rape victims,racist narrative,Racism,rape victims
reading,racist narrative,Racism,reading
some black,racist narrative,Racism,some black
support rape,racist narrative,Racism,support rape
supported rape,racist narrative,Racism,supported rape
white farmers,racist narrative,Racism,white farmers
white female,racist narrative,Racism,white female
white girl,racist narrative,Racism,white girl
white girls,racist narrative,Racism,white girls
white lives,racist narrative,Racism,white lives
white slave,racist narrative,Racism,white slave
white slavery,racist narrative,Racism,white slavery
white slaves,racist narrative,Racism,white slaves
white woman,racist narrative,Racism,white woman
white women,racist narrative,Racism,white women
white wonan,racist narrative,Racism,white wonan
whitegirlsmatter,racist narrative,Racism,whitegirlsmatter
atat,sectarianism,Sectarianism,atat
fenian,sectarianism,Sectarianism,fenian
fenians,sectarianism,Sectarianism,fenians
hun,sectarianism,Sectarianism,hun
huns,sectarianism,Sectarianism,huns
ira,sectarianism,Sectarianism,ira
kat,sectarianism,Sectarianism,kat
papist,sectarianism,Sectarianism,papist
papists,sectarianism,Sectarianism,papists
prod,sectarianism,Sectarianism,prod
prods,sectarianism,Sectarianism,prods
ruc,sectarianism,Sectarianism,ruc
tadhg,sectarianism,Sectarianism,tadhg
taig,sectarianism,Sectarianism,taig
taigs,sectarianism,Sectarianism,taigs
teague,sectarianism,Sectarianism,teague
teagues,sectarianism,Sectarianism,teagues
teig,sectarianism,Sectarianism,teig
teigs,sectarianism,Sectarianism,teigs
uda,sectarianism,Sectarianism,uda
uvf,sectarianism,Sectarianism,uvf
uvfs,sectarianism,Sectarianism,uvfs
bitch,sexist,Sexist,bitch
bitch's,sexist,Sexist,bitch's
bitches,sexist,Sexist,bitches
clunge,sexist,Sexist,clunge
karmasabitch,sexist,Sexist,karmasabitch
klunge,sexist,Sexist,klunge
muff,sexist,Sexist,muff
muffs,sexist,Sexist,muffs
period,sexist,Sexist,period
periods,sexist,Sexist,periods
sensitivebitch,sexist,Sexist,sensitivebitch
slag,sexist,Sexist,slag
slags,sexist,Sexist,slags
slapper,sexist,Sexist,slapper
slappers,sexist,Sexist,slappers
slut,sexist,Sexist,slut
vag,sexist,Sexist,vag
vagina,sexist,Sexist,vagina
vaginas,sexist,Sexist,vaginas
wench,sexist,Sexist,wench
wenches,sexist,Sexist,wenches
whore,sexist,Sexist,whore
whores,sexist,Sexist,whores
:eggplant:,sexual,Sexual,:eggplant:
:sweat_droplets:,sexual,Sexual,:sweat_droplets:
ass,sexual,Sexual,ass
bigbootybitches,sexual,Sexual,bigbootybitches
booty,sexual,Sexual,booty
breast,sexual,Sexual,breast
breasts,sexual,Sexual,breasts
clit,sexual,Sexual,clit
clits,sexual,Sexual,clits
cock,sexual,Sexual,cock
cocks,sexual,Sexual,cocks
cum,sexual,Sexual,cum
dick,sexual,Sexual,dick
dicks,sexual,Sexual,dicks
penis,sexual,Sexual,penis
pussy,sexual,Sexual,pussy
rape,sexual,Sexual,rape
raped,sexual,Sexual,raped
raping,sexual,Sexual,raping
shag,sexual,Sexual,shag
shagged,sexual,Sexual,shagged
shags,sexual,Sexual,shags
sluts,sexual,Sexual,sluts
spaff,sexual,Sexual,spaff
tits,sexual,Sexual,tits
:banana:,slurs,Racism,:banana:
:monkey_face:,slurs,Racism,:monkey_face:
:monkey:,slurs,Racism,:monkey:
:orangutan:,slurs,Racism,:orangutan:
abbo,slurs,Racism,abbo
abbos,slurs,Racism,abbos
abo,slurs,Racism,abo
abos,slurs,Racism,abos
black bastard,slurs,Racism,black bastard
black bastards,slurs,Racism,black bastards
black bitch,slurs,Racism,black bitch
black bitches,slurs,Racism,black bitches
black cunt,slurs,Racism,black cunt
black cunts,slurs,Racism,black cunts
black scum,slurs,Racism,black scum
black shit,slurs,Racism,black shit
black shite,slurs,Racism,black shite
black shits,slurs,Racism,black shits
black snake,slurs,Racism,black snake
black thug,slurs,Racism,black thug
black thugs,slurs,Racism,black thugs
blackie,slurs,Racism,blackie
blackies,slurs,Racism,blackies
blacky,slurs,Racism,blacky
boong,slurs,Racism,boong
chink,slurs,Racism,chink
chinkie,slurs,Racism,chinkie
chinkies,slurs,Racism,chinkies
chinks,slurs,Racism,chinks
chinky,slurs,Racism,chinky
chinkys,slurs,Racism,chinkys
colored,slurs,Racism,colored
coloured,slurs,Racism,coloured
gipp,slurs,Anti-GRT,gipp
gyp,slurs,Anti-GRT,gyp
gypo,slurs,Anti-GRT,gypo
gypos,slurs,Anti-GRT,gypos
gyppo,slurs,Anti-GRT,gyppo
gyppos,slurs,Anti-GRT,gyppos
gyps,slurs,Anti-GRT,gyps
jap,slurs,Racism,jap
japs,slurs,Racism,japs
jip,slurs,Anti-GRT,jip
jippo,slurs,Anti-GRT,jippo
jippos,slurs,Anti-GRT,jippos
jips,slurs,Anti-GRT,jips
jyp,slurs,Anti-GRT,jyp
jyppos,slurs,Anti-GRT,jyppos
jyps,slurs,Anti-GRT,jyps
kike,slurs,Antisemitism,kike
kikes,slurs,Antisemitism,kikes
knacker,slurs,Anti-GRT,knacker
knackers,slurs,Anti-GRT,knackers
knee grow,slurs,Racism,knee grow
knee grows,slurs,Racism,knee grows
kneegrow,slurs,Racism,kneegrow
kneegrows,slurs,Racism,kneegrows
negrito,slurs,Racism,negrito
negro,slurs,Racism,negro
negroes,slurs,Racism,negroes
negros,slurs,Racism,negros
nig,slurs,Racism,nig
nigger,slurs,Racism,nigger
niggers,slurs,Racism,niggers
niggie,slurs,Racism,niggie
niggies,slurs,Racism,niggies
nigs,slurs,Racism,nigs
nxgger,slurs,Racism,nxgger
nxggers,slurs,Racism,nxggers
paki,slurs,Islamophobia,paki
pakis,slurs,Islamophobia,pakis
pogblack,slurs,Racism,pogblack
rag head,slurs,Islamophobia,rag head
rag heads,slurs,Islamophobia,rag heads
raghead,slurs,Islamophobia,raghead
ragheads,slurs,Islamophobia,ragheads
towel head,slurs,Islamophobia,towel head
towel heads,slurs,Islamophobia,towel heads
towelhead,slurs,Islamophobia,towelhead
towelheads,slurs,Islamophobia,towelheads
pikey,special_terms,Anti-GRT,pikey
pikeys,special_terms,Anti-GRT,pikeys
rent boy,special_terms,Homophobia,rent boy
rent boys,special_terms,Homophobia,rent boys
rentboy,special_terms,Homophobia,rentboy
rentboys,special_terms,Homophobia,rentboys
yid,special_terms,Antisemitism,yid
yidarmy,special_terms,Antisemitism,yidarmy
yiddo,special_terms,Antisemitism,yiddo
yiddos,special_terms,Antisemitism,yiddos
yidoo,special_terms,Antisemitism,yidoo
yids,special_terms,Antisemitism,yids
bum raped,violence,Violence,bum raped
burn,violence,Violence,burn
burned,violence,Violence,burned
burns,violence,Violence,burns
burnt,violence,Violence,burnt
dead,violence,Violence,dead
death,violence,Violence,death
die,violence,Violence,die
died,violence,Violence,died
dies,violence,Violence,dies
dying,violence,Violence,dying
hang,violence,Violence,hang
hanged,violence,Violence,hanged
hangin,violence,Violence,hangin
hanging,violence,Violence,hanging
hangs,violence,Violence,hangs
kill,violence,Violence,kill
killed,violence,Violence,killed
killin,violence,Violence,killin
killing,violence,Violence,killing
kills,violence,Violence,kills
knife,violence,Violence,knife
knifes,violence,Violence,knifes
knived,violence,Violence,knived
knives,violence,Violence,knives
kniving,violence,Violence,kniving
murder,violence,Violence,murder
murdered,violence,Violence,murdered
murderer,violence,Violence,murderer
murderers,violence,Violence,murderers
murderous,violence,Violence,murderous
murders,violence,Violence,murders
rape,violence,Violence,rape
raped,violence,Violence,raped
rapes,violence,Violence,rapes
raping,violence,Violence,raping
rapist,violence,Violence,rapist
rapists,violence,Violence,rapists
rope,violence,Violence,rope
ropes,violence,Violence,ropes
saynotorapist,violence,Violence,saynotorapist
shoot,violence,Violence,shoot
shoots,violence,Violence,shoots
shot,violence,Violence,shot
stab,violence,Violence,stab
stabbed,violence,Violence,stabbed
stabbing,violence,Violence,stabbing
stabbings,violence,Violence,stabbings
stabs,violence,Violence,stabs
swing,violence,Violence,swing
swings,violence,Violence,swings
9/11, violence, Violence, 9/11
run it back, violence, Violence, run it back
steroid,steroids,Steroids,steroid
steroids,steroids,Steroids,steroids
roid,steroids,Steroids,roid
roids,steroids,Steroids,roids
roido,steroids,Steroids,roido
juiced,steroids,Steroids,juiced
juicer,steroids,Steroids,juicer
androgen,steroids,Steroids,androgen
hormone,steroids,Steroids,hormone
testosterone,steroids,Steroids,testosterone
manly,steroids,Steroids,manly
gym candy,steroids,Steroids,gym candy
stackers,steroids,Steroids,stackers
:syringe:,steroids,Steroids,:syringe:
:pill:,steroids,Steroids,:pill:
doping,steroids,Steroids,doping
doper,steroids,Steroids,doper
beta-blockers,steroids,Steroids,beta-blockers
TRT,steroids,Steroids,TRT
TUE,steroids,Steroids,TUE
EPO,steroids,Steroids,EPO
Erythropoietin,steroids,Steroids,Erythropoietin
Growth hormone,steroids,Steroids,Growth hormone
HGH,steroids,Steroids,HGH
PEDS,steroids,Steroids,PEDS
performance enhancing,steroids,Steroids,performance enhancing
lost money,potentially gambling related,Potentially gambling related,lost money
:money_bag:,potentially gambling related,Potentially gambling related,:money_bag:
:yen_banknote:,potentially gambling related,Potentially gambling related,:yen_banknote:
:dollar_banknote:,potentially gambling related,Potentially gambling related,:dollar_banknote:
:euro_banknote:,potentially gambling related,Potentially gambling related,:euro_banknote:
:pound_banknote:,potentially gambling related,Potentially gambling related,:pound_banknote:
:money_with_wings:,potentially gambling related,Potentially gambling related,:money_with_wings:
:slot_machine:,potentially gambling related,Potentially gambling related,:slot_machine:
choker,potentially gambling related,Potentially gambling related,choker
fixer,potentially gambling related,Potentially gambling related,fixer
fixed,potentially gambling related,Potentially gambling related,fixed
fixing,potentially gambling related,Potentially gambling related,fixing
rigged,potentially gambling related,Potentially gambling related,rigged
rigger,potentially gambling related,Potentially gambling related,rigger
been paid,potentially gambling related,Potentially gambling related,been paid
match fix,potentially gambling related,Potentially gambling related,match fix
fix,potentially gambling related,Potentially gambling related,fix
fixed,potentially gambling related,Potentially gambling related,fixed
fixer,potentially gambling related,Potentially gambling related,fixer
cheat,potentially gambling related,Potentially gambling related,cheat
cheating,potentially gambling related,Potentially gambling related,cheating
tanking ,potentially gambling related,Potentially gambling related,tanking 
tanked,potentially gambling related,Potentially gambling related,tanked
spot-fix,potentially gambling related,Potentially gambling related,spot-fix
corruption,potentially gambling related,Potentially gambling related,corruption
thrown,potentially gambling related,Potentially gambling related,thrown
courtsiding,potentially gambling related,Potentially gambling related,courtsiding
