Category,Subcategory,Local term,English translation,
Dogwhistle,Gangs,?????????,lawlessness,Dogwhistle
Family,Geneology,??????,mum,Family
Family,Geneology,??????,dad,Family
Family,Geneology,??????,brother,Family
Family,Geneology,????????,sister,Family
Family,Geneology,???????,genes,Family
Family,Geneology,??????,inbred,Family
Family,Relationships,????,girlfriend,Family
Family,Relationships,??????,boyfriend,Family
Family,Relationships,?????,fucker,Family
Family,Relationships,???????,davalka,Family
Family,Relationships,??????,whore,Family
Family,Relationships,?? ?????,for once,Family
Family,Relationships,????????? ????,gives free,Family
Family,Relationships,???????? ?? ????,breed for sex,Family
Family,Marriage,???????,wife,Family
Family,Marriage,???????,husband,Family
Family,Marriage,???????,fiance,Family
Family,Marriage,?????,fiancee,Family
Family,Marriage,?????,a woman,Family
General abuse,Paedophilia,?????????,paedophilia,General abuse
General abuse,Paedophilia,???????,paedophile,General abuse
General abuse,Paedophilia,??????????? ??????,sexual maniac,General abuse
General abuse,Paedophilia,??????,baby boy,General abuse
General abuse,Paedophilia,???????? ?????,lover of children,General abuse
General abuse,Paedophilia,??????????,pedophilia,General abuse
General abuse,Dishonesty,?????,rat,General abuse
General abuse,Dishonesty,????????,animal,General abuse
General abuse,General swearing,???????,bastard,General abuse
General abuse,General abuse,?????????,scum,General abuse
General abuse,General abuse,?????,scum,General abuse
General abuse,Dishonesty,????????,animal,General abuse
General abuse,General swearing,?????,shit,General abuse
General abuse,General swearing,?????,fucker,General abuse
General abuse,General swearing,?????,uebot,General abuse
General abuse,Dishonesty,??????,viper,General abuse
General abuse,Dishonesty,????????,monkey,General abuse
General abuse,Dishonesty,?????,ferret,General abuse
General abuse,General swearing,????? ???,son of a bitch,General abuse
General abuse,General swearing,??????,dickhead,General abuse
General abuse,Dishonesty,???????,disgrace,General abuse
General abuse,General swearing,???????,twit,General abuse
General abuse,Dishonesty,???,boor,General abuse
General abuse,General swearing,?????,bullshit,General abuse
General abuse,Dishonesty,??????,riffraff,General abuse
General abuse,Dishonesty,????????,shell,General abuse
General abuse,Dishonesty,???????,scoundrel,General abuse
General abuse,Dishonesty,?????,impudent,General abuse
General abuse,Dishonesty,??????,scoundrel,General abuse
General abuse,General swearing,???????,bastard,General abuse
General abuse,Dishonesty,?????,creature,General abuse
General abuse,Dishonesty,?????,rubbish,General abuse
General abuse,General swearing,??????,shit,General abuse
General abuse,Dishonesty,?????????,degenerate,General abuse
General abuse,Dishonesty,??????,mare,General abuse
General abuse,Dishonesty,??????,pig,General abuse
General abuse,Dishonesty,?????,mongrel,General abuse
General abuse,Dishonesty,???? ?????????,pedal horse,General abuse
General abuse,Dishonesty,?????,redneck,General abuse
General abuse,General swearing,?????????,bullshit,General abuse
General abuse,Dishonesty,????????,mutton,General abuse
General abuse,General abuse,?????????,blunt-nosed,General abuse
General abuse,Dishonesty,?????,hog,General abuse
General abuse,Dishonesty,????? ,nit,General abuse
General abuse,General swearing,?????,bastard,General abuse
General abuse,Dishonesty,?????,burdock,General abuse
General abuse,General abuse,???,goof,General abuse
General abuse,General abuse,???????,speech therapist,General abuse
General abuse,General abuse,???????,sucker,General abuse
General abuse,Dishonesty,??????,beast,General abuse
General abuse,Dishonesty,???????,toadstool,General abuse
General abuse,Dishonesty,?????,aokash,General abuse
General abuse,Dishonesty,??????,immoral,General abuse
General abuse,Dishonesty,??????,grymza,General abuse
General abuse,General swearing,???????,shit eater,General abuse
General abuse,General swearing,????? ??????,shit shovel,General abuse
General abuse,Dishonesty,???????,parasite,General abuse
General abuse,General swearing,?????????,bastard,General abuse
General abuse,General abuse,?????? ??????,abortion victim,General abuse
General abuse,General abuse,??????,nerd,General abuse
General abuse,General abuse,????????,krokhobor,General abuse
General abuse,General abuse,????????,bloodsucker,General abuse
General abuse,General abuse,?????????,maramoyka,General abuse
General abuse,General abuse,?????,impudent,General abuse
General abuse,General abuse,???????,scoundrel,General abuse
General abuse,General abuse,?????????,premature baby,General abuse
General abuse,General abuse,???????????,nonentity,General abuse
General abuse,General abuse,???????,evil spirits,General abuse
General abuse,General abuse,?????,scum,General abuse
General abuse,General abuse,??????,trash,General abuse
General abuse,General abuse,?????,dud,General abuse
General abuse,General swearing,?????????,bastard,General abuse
General abuse,General swearing,???,dick,General abuse
General abuse,General abuse,??????,stupid,General abuse
General abuse,General abuse,??????,condom,General abuse
General abuse,General abuse,?????????,scumbag,General abuse
General abuse,General abuse,??????,asylum,General abuse
General abuse,General swearing,????????,asshole,General abuse
General abuse,General swearing,???????,fuckers,General abuse
General abuse,General swearing,???????,fucker,General abuse
General abuse,General swearing,????????,motherfucker,General abuse
General abuse,General swearing,??????,cocksucker,Homophobia
General abuse,General swearing,?????????,cocksucker,Homophobia
Go back,Go back home,??????????? ?? ??????,go back to Africa,Xenophobia
Go back,Go back home,??????? ?? ??????,fuck off back,Xenophobia
Go back,Go back home,??? ???? ?????,go back home,Xenophobia
Go back,Go back home,?????? ???????,go back to,Xenophobia
Homophobia,Anti-gay,?????,fag,Homophobia
Homophobia,Anti-gay,???,gay,Homophobia
Homophobia,Anti-gay,???????,gayyyyyy,Homophobia
Homophobia,Anti-gay,?????,homo,Homophobia
Homophobia,Anti-gay,????????,poof,Homophobia
Homophobia,Anti-gay,?????,poofter,Homophobia
Homophobia,Anti-gay,??????????????,puff,Homophobia
Homophobia,Anti-gay,???????,puffter,Homophobia
Homophobia,Anti-gay,???????,queer,Homophobia
Homophobia,Anti-gay,?????,rooster,Homophobia
Homophobia,Anti-gay,???????,cockerel,Homophobia
Homophobia,Anti-gay,??????????,motherfucker,Homophobia
Homophobia,Anti-gay,???????,full of holes,Homophobia
Homophobia,Anti-lesbian,?????,dyke,Homophobia
Homophobia,Anti-lesbian,???????? ?????????,butch,Homophobia
Homophobia,Anti-lesbian,?????????,lesbian,Homophobia
Homophobia,Anti-lesbian,?????,lesbo,Homophobia
Homophobia,Anti-lesbian,?????????,lezzer,Homophobia
Homophobia,Anti-trans,????????,tranny,Transphobia
Homophobia,Anti-trans,?????,trans,Transphobia
Homophobia,Anti-trans,???????????,transgender,Transphobia
Homophobia,Anti-trans,????? ?????,transwomen,Transphobia
Intracommunity slurs,Racially-motivated,??????,bounty,Intracommunity slurs
Intracommunity slurs,Racially-motivated,?????????,choc ice,Intracommunity slurs
Intracommunity slurs,Racially-motivated,?????????,coconut,Intracommunity slurs
Intracommunity slurs,Racially-motivated,??????????,coon,Intracommunity slurs
Intracommunity slurs,Racially-motivated,??????????,infidel,Intracommunity slurs
Possible slurs,Racial,????????,ape,Racism
Possible slurs,Racial,??????,jungle,Racism
Possible slurs,Racial,????????,chimp,Racism
Possible slurs,Racial,???????,chimpanzee,Racism
Possible slurs,Racial,????????,monkey,Racism
Possible slurs,Racial,??????,nigga,Racism
Possible slurs,Racial,?????????,orangutans,Racism
Possible slurs,Racial,????????,rasta,Racism
Possible slurs,Racial,????,snigger,Racism
Possible slurs,Racial,?????,watermelon,Racism
Possible slurs,Antisemitic,???,zio,Antisemitism
Possible slurs,Antisemitic,???????,zionist,Antisemitism
Possible slurs,Antisemitic,??????????,zionism,Antisemitism
Racial term,Anti-aboriginal,?????????,aboriginal,Racism
Racial term,Anti-aboriginal,???????,abo,Racism
Racial term,Anti-aboriginal,??????,abbo,Racism
Racial term,Anti-aboriginal,???????????,boong,Racism
Racial term,Anti-black,??????,black,Racism
Racial term,Anti-black,??????? ?????,african,Racism
Racial term,Anti-black,???????????,the knee,Racism
Racial term,Islamophobic,???????????,muslim,Islamophobia
Racial term,Islamophobic,??????,islamic,Islamophobia
Racial term,Islamophobic,????????,islami,Islamophobia
Racial term,Islamophobic,??????????,pakistani,Islamophobia
Racial term,Antisemitic,?????????,jewish,Antisemitism
Racist narrative,Anti-fascists,??????????????,antifaterrorists,Political
Racist narrative,Anti-fascists,???????????,antifaterrorists,Political
Racist narrative,Islamphobic,?????????,grooming,Islamophobia
Racist narrative,Islamphobic,??????????,palestinians,Islamophobia
Racist narrative,Rape,?????? ?? ????? ??????????????,rape fighting,Racism
Racist narrative,Rape,?????? ??????????????,rape gangs,Racism
Racist narrative,Rape,?????? ?????????????,rape victims,Racism
Racist narrative,Rape,????????? ??????????????,support rape,Racism
Racist narrative,White privelege,?????? ?????,whitegirlsmatter,Racism
Racist narrative,White privelege,????? ???????,white slavery,Racism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",?????,fenian,Sectarianism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",???,ira,Sectarianism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",???????,papist,Sectarianism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",??????????,prod,Sectarianism
Sexist,Anti-woman,????,bitch,Sexism
Sexist,Anti-woman,??????,sensitivebitch,Sexism
Sexist,Anti-woman,??????,slag,Sexism
Sexist,Anti-woman,?????????,slapper,Sexism
Sexist,Anti-woman,?????,slut,Sexism
Sexist,Anti-woman,?????,wench,Sexism
Sexist,Anti-woman,?????,whore,Sexism
Sexist,Anti-woman,???????????,a prostitute,Sexism
Sexist,Anti-woman,????????,whore,Sexism
Sexist,Female anatomy,?????? ?? ?????,clunge,Sexual
Sexist,Female anatomy,?????,klunge,Sexual
Sexist,Female anatomy,??????? ??????,muff,Sexual
Sexist,Female anatomy,????????,period,Sexual
Sexist,Female anatomy,??????,vag,Sexual
Sexist,Female anatomy,?????????,vagina,Sexual
Sexist,Female anatomy,??????? ????,labia,Sexual
Sexist,Female anatomy,???????,pussy,Sexual
Sexist,Female anatomy,?????,pussy,Sexual
Sexist,Female anatomy,????,pussy,Sexual
Sexist,Female anatomy,??????,pussy,Sexual
Sexual,Female anatomy,???????,ass,Sexual
Sexual,Female anatomy,?????,booty,Sexual
Sexual,Female anatomy,?????,breasts,Sexual
Sexual,Female anatomy,??????,clit,Sexual
Sexual,Female anatomy,?????,pussy,Sexual
Sexual,Female anatomy,??????,tits,Sexual
Sexual,Female anatomy,??????,pussy,Sexual
Sexual,Female anatomy,?????,pussy,Sexual
Sexual,Female anatomy,????,hole,Sexual
Sexual,Female anatomy,??????,hole,Sexual
Sexual,Female anatomy,????,ass,Sexual
Sexual,Male anatomy,????,cock,Sexual
Sexual,Male anatomy,???,dick,Sexual
Sexual,Male anatomy,?????,penis,Sexual
Sex,Male anatomy,???????,cum,Sexual
Sex,Male anatomy,?????????,shag,Sexual
Sex,Male anatomy,??????,spaff,Sexual
Sex,Male anatomy,???????,death,Sexual
Sex,Rape,??????????,raped,Violence
Sex,Rape,????????????,rape,Violence
Sex,Rape,??????? ??? ????????,fucked without consent,Violence
Slurs,Anti-Gypsy Roma Traveller,?????,gipp,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,????,gyp,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,?????,gypo,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,????,gyppo,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,??????,gyppos,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,??????,knacker,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,???????? ?????,pikey,Anti-GRT
Slurs,Antisemitic,????????? ?????,kike,Antisemitism
Slurs,Islamophobic,?????,raghead,Islamophobia
Slurs,Islamophobic,????????,towelhead,Islamophobia
Slurs,Islamophobic,?????,paki,Islamophobia
Slurs,Islamophobic,????? ? ?????,man in a turban,Islamophobia
Violence,Violent threats,????????,burn,Violence
Violence,Violent threats,????????,burned,Violence
Violence,Violent threats,??????? ?????,stab,Violence
Violence,Violent threats,???????????,shoot,Violence
Violence,Violent threats,???,shot,Violence
Violence,Death threats,??????,dead,Violence
Violence,Death threats,???????,die,Violence
Violence,Death threats,???????,dying,Violence
Violence,Death threats,????????,hang,Violence
Violence,Death threats,??????????,hanged,Violence
Violence,Death threats,??????,hanging,Violence
Violence,Death threats,?????,kill,Violence
Violence,Death threats,????,killed,Violence
Violence,Death threats,????????,killing,Violence
Violence,Rape,?????????? ? ?????,bum raped,Violence
Violence,Rape,??????????????,raped,Violence
Violence,Rape,??????? ? ?????,saynotorapists,Violence
Violence,Weaponry,???????,rope,Violence
Violence,Weaponry,???,knife,Violence
